ANNEE;SEX;TR_AG3;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2015;ENSEMBLE;1_TR_AGE_15-44;59.2;76.5;65.2
2015;ENSEMBLE;2_TR_AGE_45-59;49.6;64.2;58.6
2015;ENSEMBLE;3_TR_AGE_60;19.7;28.0;30.1
2015;ENSEMBLE;ENSEMBLE;44.6;58.4;52.6
2016;1_HOMME;1_TR_AGE_15-44;60.5;76.3;62.9
2016;1_HOMME;2_TR_AGE_45-59;51.0;64.1;58.2
2016;1_HOMME;3_TR_AGE_60;25.7;33.2;34.6
2016;1_HOMME;ENSEMBLE;47.8;60.5;53.3
2016;2_FEMME;1_TR_AGE_15-44;65.2;79.8;68.0
2016;2_FEMME;2_TR_AGE_45-59;49.0;61.8;60.1
2016;2_FEMME;3_TR_AGE_60;20.4;28.0;31.1
2016;2_FEMME;ENSEMBLE;46.5;58.4;53.9
2016;ENSEMBLE;1_TR_AGE_15-44;62.8;78.0;65.5
2016;ENSEMBLE;2_TR_AGE_45-59;50.0;62.9;59.2
2016;ENSEMBLE;3_TR_AGE_60;22.8;30.4;32.7
2016;ENSEMBLE;ENSEMBLE;47.1;59.4;53.6
2017;1_HOMME;1_TR_AGE_15-44;63.8;79.2;67.8
2017;1_HOMME;2_TR_AGE_45-59;51.8;65.7;59.3
2017;1_HOMME;3_TR_AGE_60;26.8;34.9;38.3
2017;1_HOMME;ENSEMBLE;49.9;62.8;57.0
2017;2_FEMME;1_TR_AGE_15-44;67.2;79.0;69.8
2017;2_FEMME;2_TR_AGE_45-59;53.3;67.1;64.5
2017;2_FEMME;3_TR_AGE_60;20.2;27.7;32.1
2017;2_FEMME;ENSEMBLE;48.0;58.8;55.7
2017;ENSEMBLE;1_TR_AGE_15-44;65.5;79.1;68.8
2017;ENSEMBLE;2_TR_AGE_45-59;52.6;66.4;61.9
2017;ENSEMBLE;3_TR_AGE_60;23.2;30.9;34.9
2017;ENSEMBLE;ENSEMBLE;48.9;60.7;56.4
2018;1_HOMME;1_TR_AGE_15-44;64.3;77.6;66.5
2018;1_HOMME;2_TR_AGE_45-59;54.6;67.7;61.6
2018;1_HOMME;3_TR_AGE_60;29.9;38.5;41.9
2018;1_HOMME;ENSEMBLE;51.3;63.1;57.7
2018;2_FEMME;1_TR_AGE_15-44;68.3;78.9;73.0
2018;2_FEMME;2_TR_AGE_45-59;52.5;65.9;64.9
2018;2_FEMME;3_TR_AGE_60;21.7;28.8;32.6
2018;2_FEMME;ENSEMBLE;48.8;58.8;57.4
2018;ENSEMBLE;1_TR_AGE_15-44;66.3;78.3;69.8
2018;ENSEMBLE;2_TR_AGE_45-59;53.5;66.8;63.3
2018;ENSEMBLE;3_TR_AGE_60;25.4;33.2;36.9
2018;ENSEMBLE;ENSEMBLE;50.0;60.9;57.5
2019;1_HOMME;1_TR_AGE_15-44;65.6;80.0;68.5
2019;1_HOMME;2_TR_AGE_45-59;55.0;67.3;64.3
2019;1_HOMME;3_TR_AGE_60;31.9;40.8;44.0
2019;1_HOMME;ENSEMBLE;52.7;64.9;60.0
2019;2_FEMME;1_TR_AGE_15-44;71.0;83.8;72.5
2019;2_FEMME;2_TR_AGE_45-59;59.4;70.9;67.5
2019;2_FEMME;3_TR_AGE_60;24.0;32.1;36.7
2019;2_FEMME;ENSEMBLE;52.3;63.3;59.2
2019;ENSEMBLE;1_TR_AGE_15-44;68.4;81.9;70.5
2019;ENSEMBLE;2_TR_AGE_45-59;57.3;69.2;66.0
2019;ENSEMBLE;3_TR_AGE_60;27.5;36.1;40.0
2019;ENSEMBLE;ENSEMBLE;52.5;64.1;59.6
